name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,total_enrollment,ivy_league,tuition_avg
Connecticut College,Connecticut,CT,Private,4 Year,15150,54820,69970,54820,69970,8,Connecticut,57500,100800,36,30,1900,0,69970
Converse College,South Carolina,SC,Private,4 Year,10930,18690,29620,18690,29620,21,South-Carolina,39000,71000,60,8,1389,0,29620
Corban University,Oregon,OR,Private,4 Year,10228,33040,43268,33040,43268,21,Oregon,42500,77300,63,1,1125,0,43268
Cornell College,Iowa,IA,Private,4 Year,9384,42299,51683,42299,51683,6,Iowa,49600,90600,47,22,1086,0,51683
Cornell University,New York,NY,Private,4 Year,14816,55188,70004,55188,70004,9,New-York,70100,128200,45,43,21679,1,70004
Cornish College of the Arts,Washington,WA,Private,4 Year,12400,41642,54042,41642,54042,21,Washington,49000,86400,39,0,767,0,54042
Covenant College,Georgia,GA,Private,4 Year,10260,34330,44590,34330,44590,24,Georgia,44400,79400,62,19,1173,0,44590
Creighton University,Nebraska,NE,Private,4 Year,11036,39916,50952,39916,50952,2,Nebraska,53500,95800,56,9,8236,0,50952
Cumberland University,Tennessee,TN,Private,4 Year,9290,22890,32180,22890,32180,16,Tennessee,45500,81000,61,3,1481,0,32180
Dakota State University,South Dakota,SD,Public,4 Year,6873,9276,16149,12249,19122,5,South-Dakota,48400,84300,49,53,3047,0,17635.5
Dakota Wesleyan University,South Dakota,SD,Private,4 Year,7350,27300,34650,27300,34650,9,South-Dakota,41800,75700,52,10,870,0,34650
Dartmouth College,New Hampshire,NH,Private,4 Year,15756,55453,71209,55453,71209,1,New-Hampshire,71500,130900,44,35,6298,1,71209
Davidson College,North Carolina,NC,Private,4 Year,14372,51447,65819,51447,65819,3,North-Carolina,57300,106900,50,28,1770,0,65819
Delaware State University,Delaware,DE,Public,4 Year,12190,7868,20058,16904,29094,3,Delaware,46300,81900,62,10,4397,0,24576
Delta State University,Mississippi,MS,Public,4 Year,7722,7246,14968,7246,14968,8,Mississippi,40800,74200,63,5,3614,0,14968
Denison University,Ohio,OH,Private,4 Year,12710,51960,64670,51960,64670,5,Ohio,54400,104800,45,22,2278,0,64670
DePaul University,Illinois,IL,Private,4 Year,14235,39975,54210,39975,54210,8,Illinois,55700,102900,43,15,23799,0,54210
DePauw University,Indiana,IN,Private,4 Year,13020,49704,62724,49704,62724,5,Indiana,56600,101000,47,24,2215,0,62724
Dickinson College,Pennsylvania,PA,Private,4 Year,13698,54661,68359,54661,68359,21,Pennsylvania,55800,100100,46,25,2364,0,68359
Dickinson State University,North Dakota,ND,Public,4 Year,6898,6765,13663,9544,16442,5,North-Dakota,46400,81200,55,8,1479,0,15052.5
Dillard University,Louisiana,LA,Private,4 Year,10100,18099,28199,18099,28199,17,Louisiana,44700,79800,74,20,1200,0,28199
